n,fronteraMax,tamClique,tiempo
18,30,4,69319
18,31,4,79344
18,29,5,82508
18,31,4,80173
18,31,5,83357
18,29,5,84732
18,35,5,83776
18,34,5,105981
18,28,4,71326
18,29,5,94113
18,34,4,78788
19,31,4,83512
19,34,5,86345
19,33,5,99932
19,35,5,86104
19,33,5,105218
19,39,5,100427
19,34,5,101734
19,36,5,122536
19,32,4,147150
19,33,5,94854
19,30,4,76190
19,38,5,109196
19,26,3,71377
19,36,5,124886
19,33,5,84265
19,30,4,74715
19,30,4,81874
19,33,5,89606
19,33,5,98942
19,30,4,79001
20,35,5,181117
20,42,5,113845
20,40,5,115423
20,32,4,95761
20,35,5,87991
20,39,5,131154
20,38,5,93447
20,40,5,109894
20,30,4,85193
20,40,4,111629
20,27,3,79118
20,36,5,89698
20,43,5,116532
20,42,5,116937
20,39,5,113063
20,37,5,99195
20,32,4,88784
20,36,4,103741
20,40,5,108853
20,41,5,119255
21,36,4,86640
21,38,4,90903
21,47,6,140101
21,45,5,124387
21,40,5,96100
21,37,4,101778
21,34,5,91575
21,44,5,113975
21,43,5,119169
21,43,5,171975
21,39,5,121474
21,37,4,98987
21,42,5,115067
21,44,5,150017
21,43,6,122250
21,43,5,116541
21,43,5,106162
21,44,5,150606
21,43,5,119265
21,43,5,149659
22,46,5,116076
22,44,5,125902
22,49,5,118491
22,38,4,94697
22,39,5,94010
22,48,5,124912
22,46,6,132152
22,48,6,127151
22,49,6,144037
22,46,6,127437
22,47,5,132538
22,44,5,109402
22,42,5,121062
22,39,5,101568
22,48,5,119278
22,46,5,104565
22,50,5,124103
22,37,5,94989
22,41,4,102043
22,51,5,146736
23,50,5,171227
23,47,6,125200
23,50,6,121329
23,53,6,155552
23,44,5,116408
23,51,6,138369
23,47,6,129333
23,43,5,124518
23,42,4,97012
23,45,5,125875
23,50,5,116766
23,47,5,138533
23,53,6,154609
23,50,6,127366
23,45,5,115176
23,41,4,104564
23,51,6,145984
23,50,6,144560
23,45,5,151770
23,45,5,101396
