n,fronteraMax,tamClique,tiempo
3,2,2,22434
4,4,2,38088
5,6,2,30858
6,7,3,39329
7,11,3,43576
8,12,4,110606
9,16,4,72867
10,20,4,102956
11,25,5,98299
12,26,5,116235
13,32,5,116037
14,37,6,184922
15,39,6,131096
16,49,6,201646
17,48,6,142870
18,55,7,178788
19,64,7,243298
20,68,7,372198
21,78,8,367989
22,85,9,378415
23,91,9,407022
24,99,9,443271
25,108,9,778433
26,112,8,505079
27,117,9,447115
28,122,8,473759
29,144,10,860616
30,141,9,648717
31,163,11,846175
32,146,8,549620
33,151,8,612246
34,177,10,1072437
35,179,9,770707
36,194,10,1024715
37,197,9,931749
38,222,11,1206963
39,222,10,1090304
40,208,9,978216
41,252,11,1524922
42,249,11,1146124
43,267,11,1385962
44,293,12,1792582
45,273,10,1419099
46,281,11,1385068
47,310,11,1765460
48,306,11,1449856
49,277,9,1327336
50,347,12,2366238
51,362,13,1871285
52,364,12,1894266
53,354,11,1801941
54,381,12,2155889
55,374,11,2068689
56,401,12,2239166
57,426,12,3520107
58,396,11,2221175
59,416,12,2884492
60,442,12,2818309
61,430,11,2727834
62,484,13,3087358
63,479,12,3044079
64,510,13,3076938
65,480,12,2913390
66,486,12,2741186
67,511,12,3675805
68,483,11,3305037
69,465,10,3031090
70,573,13,3777681
71,525,12,3268043
72,602,14,3652673
73,600,13,4111021
74,651,14,4453303
75,613,13,4799926
76,660,14,4467728
77,591,12,3610996
78,651,13,4231960
79,738,15,6061671
80,631,12,4237821
81,690,13,5327059
82,787,16,5947741
83,664,12,4415705
84,628,11,5221911
85,798,15,5767146
86,826,15,6297549
87,802,15,5729651
88,662,11,4523404
89,943,17,8003226
90,740,12,5751941
91,770,13,4882127
92,797,13,5501118
93,841,14,5613994
94,849,14,6543433
95,909,15,8400167
96,879,14,6935530
97,882,14,7394906
98,853,13,7754657
99,903,14,7443479
