n,fronteraMax,tamClique,tiempo
3,2,1,29392
3,2,1,20782
3,2,1,23722
3,2,1,20734
3,2,1,35769
3,2,1,26698
3,2,1,22885
3,2,1,24867
3,2,1,23534
3,2,1,25797
3,2,1,24795
3,2,1,22535
3,2,1,22972
3,2,1,19874
3,2,1,29003
3,2,1,19700
3,2,1,22328
3,2,1,24362
3,2,1,24304
3,2,1,30358
4,2,1,28568
4,2,1,25808
4,3,1,36626
4,2,1,24371
4,2,1,29983
4,2,1,26287
4,2,1,29867
4,2,1,37512
4,3,1,26934
4,2,1,24303
4,2,1,26438
4,2,1,28369
4,3,1,28445
4,2,1,23226
4,2,1,24292
4,3,1,24242
4,2,1,24635
4,2,1,27923
4,2,1,37635
4,2,1,27041
5,3,1,40181
5,3,1,38041
5,4,1,40509
5,4,1,41370
5,4,2,42532
5,3,1,38701
5,3,1,39395
5,2,1,38328
5,4,2,46834
5,3,1,38122
5,4,2,39295
5,4,2,40887
5,4,2,35580
5,4,2,37075
5,3,1,31370
5,3,1,38185
5,2,1,39223
5,4,1,39149
5,4,2,41330
5,4,1,38874
6,6,2,75226
6,6,2,61843
6,5,2,61368
6,6,2,64739
6,5,2,58855
6,4,2,62136
6,6,2,60775
6,5,2,67549
6,6,2,70669
6,4,2,82005
6,6,2,59067
6,6,2,97549
6,4,2,93946
6,6,2,74760
6,6,2,63446
6,5,2,72076
6,5,2,89898
6,6,2,89363
6,6,2,75231
6,5,2,73534
7,7,2,138026
7,8,2,148820
7,6,2,117649
7,7,2,135098
7,6,2,99866
7,6,2,131480
7,6,2,136671
7,7,2,135773
7,7,2,99135
7,8,2,107093
7,6,2,96904
7,6,2,93723
7,7,2,111342
7,6,2,97325
7,6,2,108247
7,8,2,104920
7,7,2,101183
7,8,2,131158
7,6,2,91412
7,7,2,98315
8,9,2,154523
8,9,2,178979
8,7,2,174391
8,8,2,168982
8,8,2,205842
8,8,2,180710
8,8,2,162453
8,8,2,184782
8,8,2,167936
8,7,2,193355
8,9,2,247163
8,8,2,185275
8,7,2,244491
8,7,2,224481
8,7,2,188494
8,8,2,162837
8,8,2,185832
8,8,2,255651
8,9,2,211066
8,9,2,216631
9,8,2,358867
9,11,3,325081
9,13,3,514317
9,9,3,378154
9,9,2,413362
9,11,2,280919
9,11,3,301236
9,10,3,261148
9,10,3,316815
9,10,2,322338
9,11,3,329945
9,10,3,324828
9,8,2,367785
9,8,2,457712
9,10,3,272801
9,9,3,316322
9,10,3,344276
9,11,3,412462
9,10,2,306942
9,10,3,412483
10,12,3,471780
10,12,3,502807
10,14,3,766835
10,11,3,566620
10,14,3,512320
10,12,3,554053
10,13,3,807846
10,12,3,683126
10,13,3,654854
10,11,3,782373
10,10,3,707382
10,12,3,796866
10,13,3,470396
10,12,3,741244
10,10,2,623091
10,11,3,610551
10,11,3,618500
10,12,3,650282
10,11,3,582548
10,14,3,575758
11,14,3,1215553
11,16,3,1727943
11,13,3,1201887
11,14,3,1331993
11,12,3,1311011
11,15,3,1609591
11,12,3,1299865
11,14,3,1217287
11,14,3,1388608
11,15,3,1166858
11,14,3,1149234
11,14,3,1182118
11,14,3,1072765
11,16,3,1298488
11,17,3,1066023
11,17,3,893360
11,14,3,1517127
11,14,3,1382146
11,12,3,1226796
11,12,3,1207572
12,16,3,2949000
12,16,3,2784024
12,15,3,2052774
12,18,3,2467313
12,14,3,2243573
12,17,3,3105838
12,16,4,2267915
12,15,3,2482717
12,17,3,2933412
12,15,3,2309105
12,15,3,2559586
12,15,3,2640515
12,13,3,1991694
12,17,3,2286589
12,19,4,2568955
12,18,3,2663596
12,15,3,2560610
12,16,3,2315479
12,16,3,2101733
12,15,3,1822392
13,17,3,6020860
13,14,3,4555695
13,21,4,4297106
13,19,4,4744930
13,22,4,4126781
13,16,3,5149610
13,20,4,5354541
13,15,3,5113259
13,19,3,4189370
13,18,3,6317474
13,20,4,3481155
13,18,4,4521751
13,14,3,4940498
13,16,4,4382128
13,19,3,5039163
13,19,4,4978925
13,15,3,4542959
13,18,4,5027055
13,17,3,4065268
13,17,3,6301308
