n,fronteraMax,tamClique,tiempo
15,7,2,3171652
15,7,2,3486002
15,7,2,2973472
15,7,2,3063319
15,7,2,3081803
18,9,2,3544565
18,9,2,3492090
18,9,2,3571309
18,9,2,3571902
18,9,2,3473732
21,11,2,4781581
21,11,2,3947324
21,11,2,3932324
21,11,2,3885436
21,11,2,4011495
24,13,2,5460623
24,13,2,4316485
24,13,2,4498210
24,13,2,4392243
24,13,2,4351040
27,15,2,4882661
27,15,2,5294758
27,15,2,4694683
27,15,2,4880345
27,15,2,4882449
30,17,2,5294359
30,17,2,5198416
30,17,2,5401424
30,17,2,5459637
30,17,2,5255005
33,19,2,5655595
33,19,2,6614507
33,19,2,5788241
33,19,2,5839662
33,19,2,5929740
36,21,2,7779955
36,21,2,6397805
36,21,2,6329827
36,21,2,6460249
36,21,2,6360499
39,23,2,6767598
39,23,2,7132082
39,23,2,6865202
39,23,2,6954408
39,23,2,6827666
42,25,2,7207291
42,25,2,7641823
42,25,2,7291349
42,25,2,7256503
42,25,2,7208962
45,27,2,7788970
45,27,2,7815639
45,27,2,8447312
45,27,2,7709413
45,27,2,8045998
48,29,2,9249007
48,29,2,8527590
48,29,2,8383712
48,29,2,8886329
48,29,2,8286896
51,31,2,8784473
51,31,2,8756213
51,31,2,9596990
51,31,2,8886845
51,31,2,9041143
54,33,2,9320365
54,33,2,9257287
54,33,2,10206433
54,33,2,9443971
54,33,2,9335881
57,35,2,10694112
57,35,2,9736844
57,35,2,9819158
57,35,2,9897820
57,35,2,9884617
60,37,2,10886746
60,37,2,10241487
60,37,2,10925192
60,37,2,10640742
60,37,2,10405026
63,39,2,11664463
63,39,2,10998671
63,39,2,11148059
63,39,2,11090583
63,39,2,10813806
66,41,2,12135174
66,41,2,11823826
66,41,2,11424171
66,41,2,11698717
66,41,2,11549729
69,43,2,12393649
69,43,2,13006425
69,43,2,12136715
69,43,2,12204334
69,43,2,12101280
72,45,2,13277277
72,45,2,13226071
72,45,2,12823907
72,45,2,12968359
72,45,2,12944832
75,47,2,13988033
75,47,2,14443901
75,47,2,13299177
75,47,2,13520258
75,47,2,13742666
78,49,2,14626380
78,49,2,14414269
78,49,2,15603749
78,49,2,14852080
78,49,2,13984444
81,51,2,16675276
81,51,2,14785435
81,51,2,14877327
81,51,2,14742187
81,51,2,14714756
84,53,2,15905575
84,53,2,15718339
84,53,2,15559409
84,53,2,15481757
84,53,2,15269608
87,55,2,16979782
87,55,2,17220742
87,55,2,16264337
87,55,2,16522651
87,55,2,15931490
90,57,2,17782493
90,57,2,17901609
90,57,2,16599976
90,57,2,16615099
