n,fronteraMax,tamClique,tiempo
45,27,2,524400
45,27,2,506045
45,27,2,557645
45,27,2,534226
45,27,2,637910
45,27,2,603351
45,27,2,625557
45,27,2,486270
45,27,2,726241
45,27,2,510263
45,27,2,540246
45,27,2,483973
45,27,2,581678
45,27,2,522156
45,27,2,488564
45,27,2,529660
45,27,2,680666
45,27,2,655990
45,27,2,675261
45,27,2,677696
45,27,2,672501
48,29,2,520584
48,29,2,867736
48,29,2,524866
48,29,2,628967
48,29,2,559750
48,17,2,477109
48,29,2,541535
48,29,2,548553
48,29,2,676472
48,29,2,616612
48,29,2,700598
48,17,2,486103
48,29,2,549956
48,29,2,522964
48,29,2,557246
48,29,2,584353
48,29,2,528533
48,29,2,537235
48,29,2,534348
48,29,2,681036
48,29,2,528718
48,29,2,518326
48,29,2,531409
48,29,2,526549
48,29,2,514492
48,29,2,714613
48,29,2,554730
48,29,2,515607
48,29,2,708108
48,29,2,530729
51,31,2,547630
51,31,2,627983
51,31,2,591624
51,31,2,542050
51,31,2,569411
51,31,2,560210
51,31,2,618898
51,31,2,709986
51,31,2,546224
51,31,2,1075370
51,31,2,782562
51,31,2,544472
51,31,2,580226
51,31,2,625671
51,31,2,665431
51,31,2,787685
51,31,2,721059
51,31,2,630327
51,31,2,673737
51,31,2,845757
51,31,2,778037
51,31,2,573464
51,31,2,659730
51,31,2,541957
51,31,2,551314
51,18,2,613059
51,31,2,559724
51,31,2,588363
51,31,2,766367
51,31,2,795031
54,33,2,605071
54,33,2,680275
54,33,2,665153
54,33,2,883456
54,33,2,843913
54,33,2,808458
54,33,2,707959
54,33,2,603849
54,33,2,577396
54,33,2,825989
54,33,2,622346
54,33,2,592120
54,33,2,598386
54,33,2,749282
54,33,2,736925
54,33,2,605562
54,33,2,549528
54,33,2,727732
54,19,2,535154
54,33,2,598608
54,33,2,1006458
54,33,2,608995
54,33,2,824130
54,33,2,640189
54,33,2,765260
54,33,2,590273
54,33,2,784114
54,33,2,616523
54,33,2,816180
54,33,2,888404
57,35,2,924415
57,35,2,793426
57,35,2,839510
57,35,2,615433
57,35,2,671236
57,35,2,968689
57,35,2,610708
57,35,2,623947
57,35,2,627126
57,35,2,920021
57,35,2,835038
57,35,2,639024
57,20,2,561796
57,35,2,821343
57,35,2,632276
57,35,2,606520
57,35,2,652343
57,35,2,631754
57,35,2,612258
57,35,2,883088
57,20,2,628995
57,35,2,642328
57,35,2,683956
57,35,2,578647
57,35,2,610297
57,35,2,986298
57,35,2,591010
57,35,2,648787
57,35,2,693862
57,35,2,720366
60,37,2,656465
60,37,2,1066930
60,37,2,708501
60,37,2,998830
60,21,2,585988
60,37,2,665057
60,37,2,639894
60,37,2,652326
60,37,2,787415
60,37,2,654279
60,37,2,695158
60,37,2,677825
60,37,2,831126
60,37,2,708675
60,37,2,965756
60,37,2,831719
60,37,2,644168
60,37,2,718592
60,37,2,686235
60,37,2,707954
60,37,2,576134
60,37,2,740785
60,37,2,713122
60,37,2,621563
60,37,2,697332
60,37,2,1075183
60,37,2,829688
60,37,2,706267
60,37,2,706411
60,37,2,891134
63,39,2,968800
63,39,2,904988
63,39,2,670640
63,39,2,973012
63,39,2,670718
63,39,2,738074
63,39,2,668500
63,39,2,868591
63,39,2,876985
63,39,2,1443967
63,39,2,953142
63,39,2,899408
63,39,2,671706
63,39,2,724438
63,39,2,1039775
63,39,2,868014
63,39,2,912273
63,39,2,680315
63,39,2,972147
63,39,2,678829
63,39,2,697581
63,39,2,882556
63,22,2,615907
63,39,2,746242
63,39,2,667287
63,39,2,724630
63,39,2,893860
63,39,2,1139777
63,39,2,655926
63,39,2,774139
66,41,2,761288
66,41,2,1179796
66,41,2,763427
66,41,2,1012556
66,41,2,742625
66,41,2,961010
66,41,2,1181992
66,41,2,679264
66,41,2,969209
66,41,2,1037868
66,41,2,745379
66,41,2,807823
66,23,2,693692
66,41,2,1131108
66,41,2,1000587
66,41,2,789832
66,41,2,892295
66,41,2,742065
66,41,2,1021415
66,41,2,804394
66,41,2,746077
66,41,2,926809
66,41,2,773065
66,41,2,775907
66,41,2,985727
66,41,2,919245
66,41,2,754514
66,41,2,785649
66,41,2,1189214
66,41,2,709994
69,43,2,821919
69,43,2,789615
69,43,2,834597
69,43,2,1732827
69,24,2,803217
69,43,2,755752
69,43,2,985751
69,43,2,1094358
69,43,2,1062050
69,43,2,1291206
69,43,2,781425
69,43,2,1185515
69,43,2,848787
69,43,2,879783
69,43,2,992763
69,43,2,964928
69,43,2,970081
69,43,2,852587
69,24,2,728560
69,43,2,1232940
69,43,2,782148
69,43,2,792010
69,43,2,1036022
69,43,2,932106
69,43,2,777586
69,43,2,1226944
69,43,2,758577
69,43,2,829435
69,24,2,693105
69,43,2,808737
72,45,2,818403
72,45,2,828930
72,25,2,716298
72,45,2,1137943
72,45,2,866352
72,45,2,929712
72,45,2,1053749
72,45,2,1151917
72,45,2,1141228
72,45,2,1130271
72,45,2,846898
72,25,2,716878
72,45,2,1106593
72,45,2,1007410
72,45,2,972441
72,45,2,819900
72,45,2,818180
72,45,2,839342
72,45,2,812035
72,45,2,788801
72,45,2,889573
72,45,2,785157
72,45,2,792350
72,45,2,921282
72,45,2,859510
72,45,2,823562
72,45,2,834002
72,45,2,1053766
72,45,2,1007142
72,45,2,1023897
75,47,2,823225
75,47,2,1307304
75,47,2,865977
75,47,2,1132053
75,47,2,875797
75,47,2,857273
75,47,2,863417
75,47,2,875532
75,47,2,1288171
75,47,2,811836
75,47,2,972984
75,26,2,669010
75,47,2,1177145
75,47,2,1102259
75,47,2,935404
75,47,2,916418
75,47,2,1010808
75,47,2,966400
75,47,2,827607
75,47,2,1119820
75,47,2,898273
75,47,2,864939
75,47,2,821496
75,47,2,896364
75,47,2,1198389
75,47,2,1099667
75,47,2,1169944
75,47,2,1159043
75,47,2,1069652
75,47,2,1110192
78,49,2,1351172
78,49,2,939744
78,49,2,1113059
78,49,2,1863411
78,49,2,776484
78,49,2,899824
78,49,2,917063
78,49,2,989249
78,49,2,1679244
78,49,2,914487
78,49,2,892806
78,49,2,886672
78,49,2,1351551
78,49,2,851075
78,49,2,821559
78,49,2,810212
78,49,2,874083
78,49,2,917766
78,49,2,955531
78,49,2,866805
78,49,2,1090949
78,49,2,850856
78,49,2,914907
78,49,2,852499
78,49,2,1075764
78,49,2,898059
78,49,2,943297
78,49,2,934592
78,27,2,827675
78,49,2,857758
81,28,2,809909
81,51,2,958372
81,51,2,896863
81,51,2,1239175
81,51,2,1032103
81,51,2,890770
81,51,2,1444441
81,51,2,1375581
81,51,2,1230043
81,51,2,1218438
81,51,2,894788
81,51,2,941328
81,51,2,1268203
81,51,2,909672
81,51,2,910668
81,51,2,950216
81,51,2,1168760
81,51,2,914698
81,51,2,1240772
81,51,2,925936
81,51,2,942752
81,51,2,1166083
81,51,2,941691
81,28,2,855237
81,51,2,972874
81,51,2,1206269
81,51,2,996195
81,51,2,1458063
81,51,2,993479
81,51,2,889122
84,53,2,947323
84,53,2,1026882
84,53,2,928478
84,53,2,1291987
84,53,2,1250621
84,53,2,1198518
84,53,2,1017623
84,53,2,1588953
84,53,2,1168533
84,53,2,937070
84,53,2,1216293
84,53,2,1402249
84,53,2,1513390
84,53,2,967077
84,53,2,966892
84,53,2,922085
84,53,2,1200119
84,53,2,955301
84,53,2,1264240
84,53,2,1108059
84,53,2,880275
84,53,2,1023507
84,53,2,1539407
84,53,2,1245623
84,53,2,1206059
84,53,2,1201920
84,53,2,1553301
84,53,2,1345745
84,53,2,1161731
84,53,2,1177084
87,55,2,978419
87,55,2,1018801
87,55,2,964460
87,55,2,1401303
87,30,2,998947
87,55,2,1463389
87,55,2,976046
87,55,2,1179074
87,55,2,1136046
87,55,2,1014627
87,55,2,1000397
87,55,2,1010894
87,55,2,962835
87,55,2,988836
87,55,2,1565366
87,55,2,1130818
87,55,2,1256130
87,55,2,1262843
87,55,2,1320784
87,55,2,999129
87,55,2,1048686
87,55,2,1252333
87,55,2,1067931
87,55,2,1058531
87,55,2,1300286
87,55,2,1326544
87,55,2,1539365
87,55,2,1606818
87,55,2,969698
87,55,2,1334755
90,57,2,1072942
90,57,2,1002510
90,57,2,1426566
90,57,2,1169596
90,57,2,1359315
90,57,2,1068073
90,57,2,1041164
90,57,2,1495259
90,57,2,1017840
90,57,2,1298584
90,57,2,1337841
90,57,2,1065185
90,57,2,1431821
90,57,2,1112314
90,57,2,1671184
90,57,2,1067945
90,57,2,1148870
90,57,2,1645240
90,57,2,1035360
90,57,2,1015529
90,57,2,1005290
90,57,2,1480692
90,57,2,1089933
90,57,2,1159379
90,57,2,1309481
90,57,2,1079287
90,57,2,1539564
90,57,2,1306762
90,57,2,1013319
90,57,2,1012110
93,59,2,1098469
93,59,2,1184648
93,59,2,1130291
93,59,2,1050484
93,59,2,1095865
93,59,2,903588
93,59,2,1412506
93,59,2,1353578
93,59,2,1099432
93,59,2,1102465
93,59,2,1079130
93,59,2,1067212
93,59,2,992223
93,59,2,1401168
93,59,2,1162239
93,59,2,1043225
93,59,2,1053167
93,59,2,1362756
93,59,2,1128494
93,59,2,1003097
93,59,2,1476388
93,59,2,1342052
93,59,2,1140558
93,59,2,1107058
93,59,2,1043681
93,59,2,1186673
93,59,2,1405868
93,32,2,934827
93,59,2,1087188
93,59,2,1142126
96,61,2,1169933
96,61,2,1511162
96,61,2,1631643
96,61,2,1524684
96,61,2,1159745
96,61,2,1145874
96,61,2,1767876
96,61,2,1097222
96,61,2,1395861
96,61,2,1125045
96,61,2,1137333
96,61,2,1093733
96,61,2,1027322
96,61,2,1650280
96,61,2,1461751
96,61,2,1098162
96,61,2,1133927
96,61,2,1166003
96,61,2,1412498
96,61,2,1197830
96,61,2,1310638
96,61,2,1399949
96,61,2,1120450
96,61,2,1120908
96,33,2,966422
96,61,2,1037733
96,61,2,1108179
96,61,2,1090089
96,61,2,1484904
96,61,2,1773247
99,63,2,1195127
99,63,2,1183967
99,63,2,1189928
99,63,2,1578121
99,63,2,1505480
99,63,2,1525413
99,63,2,1548169
99,63,2,1701419
99,63,2,1317338
99,63,2,1294553
99,63,2,1225426
99,63,2,1618101
99,63,2,1436918
99,63,2,1162460
99,63,2,1581450
99,63,2,1083496
99,63,2,1517833
99,34,2,1014435
99,63,2,1118036
99,63,2,1173067
99,63,2,1462621
99,63,2,1165277
99,63,2,1213153
99,34,2,1155254
99,63,2,1222752
99,63,2,1301306
99,63,2,1626551
99,63,2,1243376
99,63,2,1236174
99,63,2,1127985
102,65,2,1167733
102,65,2,1519898
102,65,2,1704612
102,65,2,1239485
102,65,2,1171758
