n,fronteraMax,tamClique,tiempo
15,7,2,2417920
15,7,2,2474770
15,7,2,2640438
15,7,2,2399174
15,7,2,2385690
18,9,2,4674020
18,9,2,2823310
18,9,2,2821955
18,9,2,2849882
18,9,2,2763975
21,11,2,3192799
21,11,2,3593948
21,11,2,3267749
21,11,2,3219015
21,11,2,3214548
24,13,2,3595140
24,13,2,3569558
24,13,2,4462650
24,13,2,3577050
24,13,2,3545390
27,15,2,3978986
27,15,2,4005724
27,15,2,5090577
27,15,2,4058192
27,15,2,3994320
30,17,2,4460310
30,17,2,4421969
30,17,2,4896683
30,17,2,4491006
30,17,2,4352724
33,19,2,4875888
33,19,2,5672830
33,19,2,4811788
33,19,2,4992085
33,19,2,4872483
36,21,2,5786734
36,21,2,5330925
36,21,2,5374599
36,21,2,5338241
36,21,2,5420758
39,23,2,5660004
39,23,2,6277819
39,23,2,5660176
39,23,2,6377007
39,23,2,5773730
42,25,2,6179527
42,25,2,6657454
42,25,2,6233648
42,25,2,6056633
42,25,2,6188708
45,27,2,7808290
45,27,2,6714240
45,27,2,6704806
45,27,2,6515028
45,27,2,6618380
48,29,2,7123185
48,29,2,7483874
48,29,2,7556936
48,29,2,7211192
48,29,2,6910928
51,31,2,8025133
51,31,2,7511569
51,31,2,7487604
51,31,2,7602015
51,31,2,7416880
54,33,2,8150599
54,33,2,8175773
54,33,2,8431532
54,33,2,8147428
54,33,2,8105854
57,35,2,9131738
57,35,2,8495462
57,35,2,8448277
57,35,2,8578955
57,35,2,8447427
60,37,2,9320769
60,37,2,9468152
60,37,2,9880901
60,37,2,9179832
60,37,2,9059558
63,39,2,10083387
63,39,2,9566522
63,39,2,10264817
63,39,2,9790134
63,39,2,9600461
66,41,2,10382429
66,41,2,10005540
66,41,2,10666577
66,41,2,10222566
66,41,2,10066566
69,43,2,11181560
69,43,2,12385747
69,43,2,10868629
69,43,2,10917540
69,43,2,10732813
72,45,2,11879449
72,45,2,11264004
72,45,2,11311620
72,45,2,11011171
72,45,2,11189952
75,47,2,12153580
75,47,2,12595831
75,47,2,11970664
75,47,2,11798868
75,47,2,11992379
78,49,2,12427351
78,49,2,12497887
78,49,2,12339609
78,49,2,12479600
78,49,2,12178270
81,51,2,13506632
81,51,2,13458708
81,51,2,13118845
81,51,2,13654193
81,51,2,12734628
84,53,2,14596119
84,53,2,13797979
84,53,2,13633137
84,53,2,13232920
84,53,2,13710079
87,55,2,14953496
87,55,2,14355053
87,55,2,14409344
87,55,2,14131842
87,55,2,14082125
90,57,2,16720235
90,57,2,15485456
90,57,2,14868010
90,57,2,14785746
90,57,2,14680423
93,59,2,16037659
93,59,2,16219577
93,59,2,15493171
93,59,2,15469901
93,59,2,15236988
96,61,2,16631021
96,61,2,17933889
96,61,2,16062972
96,61,2,16025466
96,61,2,16070802
99,63,2,16714712
99,63,2,17164824
99,63,2,16770005
99,63,2,16290877
99,63,2,16766862
102,65,2,18333438
102,65,2,18499234
102,65,2,17365922
102,65,2,17217035
102,65,2,17327227
105,67,2,18763053
105,67,2,18808271
105,67,2,17950403
105,67,2,18064758
105,67,2,17556522
108,69,2,19254654
108,69,2,19460759
108,69,2,18678208
108,69,2,18031687
108,69,2,18140676
111,71,2,20116184
111,71,2,20466734
111,71,2,18782780
111,71,2,19244928
111,71,2,19420630
114,73,2,20319188
114,73,2,20956700
114,73,2,20038984
114,73,2,19958343
114,73,2,19309899
117,75,2,20849117
117,75,2,21160221
117,75,2,21193746
117,75,2,21571686
117,75,2,20764514
120,77,2,22457072
120,77,2,21616301
120,77,2,21319510
120,77,2,21343685
120,77,2,21311075
123,79,2,22230167
123,79,2,23001235
123,79,2,23556544
123,79,2,22096118
123,79,2,22107300
126,81,2,23744966
126,81,2,23413529
126,81,2,22135105
126,81,2,22855462
126,81,2,22793721
129,83,2,23546038
129,83,2,24000251
129,83,2,23724606
129,83,2,23822497
129,83,2,23650514
132,85,2,25438868
132,85,2,24356149
132,85,2,24558577
132,85,2,24634513
132,85,2,24430624
135,87,2,26842944
135,87,2,24507293
135,87,2,25008870
135,87,2,25293465
135,87,2,25526373
138,89,2,26518024
138,89,2,26096531
138,89,2,25874089
138,89,2,26162376
138,89,2,26176140
141,91,2,27668882
141,91,2,26032814
141,91,2,26964750
141,91,2,26074670
141,91,2,26968845
144,93,2,29448508
144,93,2,27503279
144,93,2,28033884
144,93,2,29713917
144,93,2,27582059
147,95,2,28473696
147,95,2,28496686
147,95,2,28593230
147,95,2,28290503
147,95,2,28419613
150,97,2,30814709
150,97,2,29296544
150,97,2,28153262
150,97,2,29329470
150,97,2,28244961
153,99,2,30797580
153,99,2,30044095
153,99,2,29686160
153,99,2,28918885
153,99,2,30302476
156,101,2,31062752
156,101,2,31369447
156,101,2,30977914
156,101,2,30631065
156,101,2,30651917
159,103,2,32534662
159,103,2,31722534
159,103,2,31673957
159,103,2,31378799
159,103,2,30566485
162,105,2,34428998
162,105,2,32439286
162,105,2,31716340
162,105,2,34254089
162,105,2,32420814
165,107,2,33292708
165,107,2,33816430
165,107,2,32238682
165,107,2,34255970
165,107,2,33463450
168,109,2,36233301
168,109,2,34380699
168,109,2,34576850
168,109,2,34602595
168,109,2,34354755
171,111,2,36777712
171,111,2,34813531
171,111,2,34063145
171,111,2,35079813
171,111,2,35015922
174,113,2,36779786
174,113,2,34820513
174,113,2,36137285
174,113,2,36080894
174,113,2,36993620
177,115,2,38833766
177,115,2,35708535
177,115,2,36853393
177,115,2,36799146
177,115,2,38930953
180,117,2,39842527
180,117,2,38147057
180,117,2,36344111
180,117,2,36603215
180,117,2,37516666
183,119,2,39449489
183,119,2,39094269
183,119,2,38723560
183,119,2,37258181
183,119,2,39351960
186,121,2,41667162
186,121,2,39829261
186,121,2,38038977
186,121,2,39798698
186,121,2,39346980
189,123,2,42164019
189,123,2,40699719
189,123,2,38940479
189,123,2,40011411
189,123,2,40457550
192,125,2,41769433
192,125,2,41325519
192,125,2,42085032
192,125,2,42698318
192,125,2,41903102
195,127,2,44496261
195,127,2,42660422
195,127,2,42611714
195,127,2,40988044
195,127,2,42808024
198,129,2,44914112
198,129,2,43261572
198,129,2,43910361
198,129,2,43470991
198,129,2,43726098
201,131,2,44716106
201,131,2,46103130
201,131,2,44093711
201,131,2,42673683
201,131,2,42941982
204,133,2,46794549
204,133,2,45436375
204,133,2,45218589
204,133,2,44316111
204,133,2,48212463
207,135,2,48191455
207,135,2,46749838
207,135,2,46072412
207,135,2,47037819
207,135,2,46633864
210,137,2,47245345
210,137,2,47194710
210,137,2,47890259
210,137,2,47232905
210,137,2,47437437
213,139,2,49906026
213,139,2,48644192
213,139,2,48626384
213,139,2,48946126
213,139,2,48787801
216,141,2,48780397
216,141,2,47751103
216,141,2,49438422
216,141,2,48446474
216,141,2,49651095
219,143,2,50607631
219,143,2,50847111
219,143,2,50445474
219,143,2,48433121
219,143,2,50682097
222,145,2,53592660
222,145,2,52164885
222,145,2,49699806
222,145,2,51304143
222,145,2,51354767
225,147,2,54007577
225,147,2,50357535
225,147,2,52936696
225,147,2,50503273
225,147,2,52256843
228,149,2,55601060
228,149,2,51740134
228,149,2,55236462
228,149,2,53560996
228,149,2,51549961
231,151,2,54273256
231,151,2,55207379
231,151,2,55139723
231,151,2,54334971
231,151,2,54868307
234,153,2,57542585
234,153,2,55969618
234,153,2,54615822
234,153,2,56213057
234,153,2,56117851
237,155,2,56822432
237,155,2,57098090
237,155,2,54668430
237,155,2,56507776
237,155,2,59748972
240,157,2,59427097
240,157,2,55533632
240,157,2,58201269
240,157,2,57831235
240,157,2,55848444
243,159,2,61712170
243,159,2,58990232
243,159,2,59449558
243,159,2,57038583
243,159,2,58704049
246,161,2,61601882
246,161,2,60569636
246,161,2,60417221
246,161,2,57937645
246,161,2,58856272
249,163,2,66431794
249,163,2,61778820
249,163,2,59026990
249,163,2,59236148
249,163,2,62169049
252,165,2,62591908
252,165,2,62419396
252,165,2,62701819
252,165,2,60865791
252,165,2,59957658
255,167,2,66757023
255,167,2,63145946
255,167,2,63856752
255,167,2,63618718
255,167,2,63592080
258,169,2,67004763
258,169,2,65421888
258,169,2,65808485
258,169,2,62451939
258,169,2,64351033
261,171,2,68542091
261,171,2,66671855
261,171,2,66597908
261,171,2,64256065
261,171,2,63740431
264,173,2,70446926
264,173,2,65092479
264,173,2,64863121
264,173,2,64864752
264,173,2,69704981
267,175,2,70830602
267,175,2,68624831
267,175,2,68799361
267,175,2,69580330
267,175,2,66821590
270,177,2,71643666
270,177,2,70214210
270,177,2,70658025
270,177,2,67387223
270,177,2,67240442
273,179,2,72957921
273,179,2,71660773
273,179,2,69508832
273,179,2,73663546
273,179,2,71575790
276,181,2,74877239
276,181,2,70030207
276,181,2,72602405
276,181,2,69426107
276,181,2,69725746
279,183,2,75224184
279,183,2,73712241
279,183,2,73209338
279,183,2,73649047
279,183,2,74090593
282,185,2,74156597
282,185,2,77204509
282,185,2,71830359
282,185,2,75083398
282,185,2,75772479
285,187,2,75069550
285,187,2,76906644
285,187,2,72778312
285,187,2,76426614
285,187,2,76600097
288,189,2,83033862
288,189,2,78194711
288,189,2,77585791
288,189,2,76483534
288,189,2,74680538
291,191,2,81167695
291,191,2,75701760
291,191,2,75332433
291,191,2,80365379
291,191,2,79535973
294,193,2,80983304
294,193,2,80364996
294,193,2,77367210
294,193,2,79509627
294,193,2,81205114
297,195,2,85470377
297,195,2,82381941
297,195,2,82447516
297,195,2,77797885
297,195,2,81296216
300,197,2,81359376
300,197,2,83343307
300,197,2,83721017
300,197,2,82625523
300,197,2,78913893
303,199,2,83063266
303,199,2,84681090
303,199,2,86372076
303,199,2,80490612
303,199,2,84447728
306,201,2,86419602
306,201,2,81833779
306,201,2,85485797
306,201,2,85788700
306,201,2,85316944
309,203,2,85114449
309,203,2,86710781
309,203,2,86836079
309,203,2,88639464
309,203,2,87156253
312,205,2,89606017
