n,fronteraMax,tamClique,tiempo
15,7,2,2600214
15,7,2,2832233
15,7,2,2606337
15,7,2,2649023
15,7,2,2504668
18,9,2,3272098
18,9,2,3002295
18,9,2,2958540
18,9,2,3081320
18,9,2,3043932
21,11,2,3232089
21,11,2,4296456
21,11,2,3173601
21,11,2,3262229
21,11,2,3219437
24,13,2,3573168
24,13,2,3740750
24,13,2,3989025
24,13,2,3638165
24,13,2,3784838
27,15,2,4107722
27,15,2,4643312
27,15,2,4381781
27,15,2,3939421
27,15,2,4103387
30,17,2,4420265
30,17,2,5098686
30,17,2,4353264
30,17,2,4398600
30,17,2,4559370
33,19,2,5046480
33,19,2,5224723
33,19,2,4967532
33,19,2,4900210
33,19,2,4855126
36,21,2,5354477
36,21,2,5752466
36,21,2,5288097
36,21,2,6113378
36,21,2,5936047
39,23,2,5812735
39,23,2,5735938
39,23,2,6962253
39,23,2,5702952
39,23,2,5798579
42,25,2,6120080
42,25,2,6642986
42,25,2,6153732
42,25,2,6233869
42,25,2,6177296
45,27,2,6535055
45,27,2,7069630
45,27,2,6870986
45,27,2,7032009
45,27,2,6631145
48,29,2,7178639
48,29,2,8157230
48,29,2,7131116
48,29,2,7195165
48,29,2,7120330
51,31,2,7683424
51,31,2,7653091
51,31,2,8392459
51,31,2,7635762
51,31,2,7682922
54,33,2,8932458
54,33,2,7926970
54,33,2,8031748
54,33,2,8123222
54,33,2,8235976
57,35,2,9484790
57,35,2,8735290
57,35,2,9026293
57,35,2,8629414
57,35,2,8421919
60,37,2,9326352
60,37,2,9107599
60,37,2,9942154
60,37,2,9145778
60,37,2,8970620
63,39,2,10271538
63,39,2,9586488
63,39,2,10392824
63,39,2,9558007
63,39,2,9575551
66,41,2,10426311
66,41,2,10365701
66,41,2,10369063
66,41,2,10206845
66,41,2,10179037
69,43,2,10938388
69,43,2,10841258
69,43,2,11029280
69,43,2,10578028
69,43,2,10836015
72,45,2,11741853
72,45,2,11504870
72,45,2,11373239
72,45,2,11580573
72,45,2,10984311
75,47,2,12622188
75,47,2,12298478
75,47,2,13408856
75,47,2,11587278
75,47,2,11836818
78,49,2,12875863
78,49,2,12889437
78,49,2,12508270
78,49,2,12142756
78,49,2,12150327
81,51,2,13329481
81,51,2,13699471
81,51,2,13095680
81,51,2,12993118
81,51,2,13663409
84,53,2,14417514
84,53,2,14420227
84,53,2,13609050
84,53,2,13291210
84,53,2,13751429
87,55,2,14650488
87,55,2,15342503
87,55,2,14227979
87,55,2,14229349
87,55,2,14274850
90,57,2,15457351
90,57,2,15702251
90,57,2,14482479
90,57,2,14423151
90,57,2,14318407
93,59,2,16013885
93,59,2,15461217
93,59,2,15396196
93,59,2,15426201
93,59,2,15452307
96,61,2,16365669
96,61,2,16697690
96,61,2,16075345
96,61,2,15963717
96,61,2,16151831
99,63,2,17255197
99,63,2,17688139
99,63,2,16916168
99,63,2,16769287
99,63,2,16673676
102,65,2,18095314
102,65,2,17834920
102,65,2,17643049
102,65,2,17283962
102,65,2,17357512
105,67,2,18848203
105,67,2,18866640
105,67,2,17643465
105,67,2,17473674
105,67,2,17946332
108,69,2,18838729
108,69,2,19163384
108,69,2,20254147
108,69,2,18072497
108,69,2,18092747
111,71,2,20269720
111,71,2,19992307
111,71,2,19401230
111,71,2,19357184
111,71,2,19382139
114,73,2,19755538
114,73,2,20558002
114,73,2,20071100
114,73,2,19441179
114,73,2,20103182
117,75,2,21641669
117,75,2,21129025
117,75,2,20665129
117,75,2,20835910
117,75,2,21355738
120,77,2,21991659
120,77,2,21881801
120,77,2,21396635
120,77,2,20767675
120,77,2,21435198
123,79,2,22020026
123,79,2,23033612
123,79,2,22246150
123,79,2,21324857
123,79,2,22119513
126,81,2,22946994
126,81,2,22890592
126,81,2,22166156
126,81,2,22941972
126,81,2,22831652
129,83,2,24808344
129,83,2,24113727
129,83,2,22992905
129,83,2,23183516
129,83,2,23640186
132,85,2,25562372
132,85,2,24701958
132,85,2,24612238
132,85,2,26135680
132,85,2,23986625
135,87,2,25252684
135,87,2,25443997
135,87,2,25250302
135,87,2,24519132
135,87,2,25191126
138,89,2,27653228
138,89,2,25356104
138,89,2,25871923
138,89,2,26041422
138,89,2,25216455
141,91,2,28445949
141,91,2,26638314
141,91,2,26755486
141,91,2,25960723
141,91,2,26640855
144,93,2,29194449
144,93,2,27546313
144,93,2,26749388
144,93,2,27619272
144,93,2,27666571
147,95,2,30623445
147,95,2,28622471
147,95,2,28537447
147,95,2,28395085
147,95,2,27398478
150,97,2,31153270
150,97,2,29378372
150,97,2,29492792
150,97,2,29237676
150,97,2,28254523
153,99,2,31793314
153,99,2,31953953
153,99,2,28940556
153,99,2,30200269
153,99,2,28946425
156,101,2,31609508
156,101,2,32042508
156,101,2,29813462
156,101,2,30606292
156,101,2,30877423
159,103,2,32841136
159,103,2,31664204
159,103,2,31786949
159,103,2,31849340
159,103,2,31381471
162,105,2,33461549
162,105,2,31391830
162,105,2,32349099
162,105,2,31402739
162,105,2,32709093
165,107,2,33737977
165,107,2,33579617
165,107,2,32225295
165,107,2,33616312
165,107,2,33509069
168,109,2,34429892
168,109,2,34435399
168,109,2,34446809
168,109,2,33025102
168,109,2,36325480
171,111,2,35612544
171,111,2,34970936
171,111,2,35383698
171,111,2,35076725
171,111,2,35167375
174,113,2,36555135
174,113,2,35836958
174,113,2,36103468
174,113,2,36278895
174,113,2,36588824
177,115,2,38068989
177,115,2,35593981
177,115,2,36559029
177,115,2,36985451
177,115,2,35535931
180,117,2,40133022
180,117,2,38139115
180,117,2,37889855
180,117,2,37761175
180,117,2,36461975
183,119,2,38945307
183,119,2,38501379
183,119,2,38977981
183,119,2,37286946
183,119,2,40775983
186,121,2,40012482
186,121,2,40106873
186,121,2,38084240
186,121,2,39506199
186,121,2,39848341
189,123,2,41033723
189,123,2,40427004
189,123,2,40265437
189,123,2,40330523
189,123,2,40606924
192,125,2,41827231
192,125,2,41908985
192,125,2,41833050
192,125,2,42568278
192,125,2,41191566
195,127,2,44082246
195,127,2,42617813
195,127,2,42940581
195,127,2,40973339
195,127,2,42201773
198,129,2,45031391
198,129,2,43787775
198,129,2,45448690
198,129,2,43839043
198,129,2,41737418
201,131,2,46139824
201,131,2,45276034
201,131,2,43033356
201,131,2,44859528
201,131,2,42999197
204,133,2,47870922
204,133,2,45492079
204,133,2,45200803
204,133,2,45260760
204,133,2,43743554
207,135,2,48010153
207,135,2,44884593
207,135,2,46779273
207,135,2,45822964
207,135,2,44768876
210,137,2,47395104
210,137,2,45696024
210,137,2,47285087
210,137,2,47373578
210,137,2,45666138
213,139,2,50040036
213,139,2,48552673
213,139,2,48748596
213,139,2,46378838
213,139,2,49769763
216,141,2,51196732
216,141,2,49812585
216,141,2,49535743
216,141,2,47646690
216,141,2,49668259
219,143,2,52306689
219,143,2,50509785
219,143,2,50199620
219,143,2,50379123
219,143,2,51062187
222,145,2,51443989
222,145,2,52409583
222,145,2,51740763
222,145,2,51729873
222,145,2,51365095
225,147,2,54433224
225,147,2,52733119
225,147,2,50643673
225,147,2,52211363
225,147,2,50440161
228,149,2,55927382
228,149,2,51647603
228,149,2,54223182
228,149,2,53302589
228,149,2,53518969
231,151,2,57073836
231,151,2,52568628
231,151,2,54675761
231,151,2,54639259
231,151,2,56846781
234,153,2,57821586
234,153,2,55218882
234,153,2,57007086
